subject,experiment,wrote_notes,enc_modality,ret_modality,plis,pli_recency
MTK0091,1,0,a,v,0.0,
MTK0091,1,0,a,a,0.0,
MTK0092,1,0,v,v,0.0,
MTK0092,1,0,v,a,0.14285714285714285,1.0
MTK0092,1,0,a,v,0.5,0.375
MTK0092,1,0,a,a,0.14285714285714285,0.0
MTK0093,1,0,v,v,0.2857142857142857,0.0
MTK0093,1,0,v,a,0.0,
MTK0093,1,0,a,v,0.0,
MTK0093,1,0,a,a,0.14285714285714285,0.0
MTK0095,1,0,v,v,0.0,
MTK0095,1,0,v,a,0.0,
MTK0095,1,0,a,v,0.0,
MTK0095,1,0,a,a,0.0,
MTK0097,1,0,v,v,0.0,
MTK0097,1,0,v,a,0.0,
MTK0097,1,0,a,v,0.0,
MTK0097,1,0,a,a,0.14285714285714285,0.0
MTK0098,1,0,v,v,0.0,
MTK0098,1,0,v,a,0.0,
MTK0098,1,0,a,v,0.0,
MTK0098,1,0,a,a,0.0,
MTK0099,1,0,v,v,0.0,
MTK0099,1,0,v,a,0.0,
MTK0099,1,0,a,v,0.0,
MTK0099,1,0,a,a,0.0,
MTK0100,1,0,v,v,0.0,
MTK0100,1,0,v,a,0.0,
MTK0100,1,0,a,v,0.0,
MTK0100,1,0,a,a,0.0,
MTK0101,1,0,v,v,0.2857142857142857,0.0
MTK0101,1,0,v,a,0.125,1.0
MTK0101,1,0,a,v,0.14285714285714285,1.0
MTK0101,1,0,a,a,0.2857142857142857,1.0
MTK0102,1,0,v,v,0.0,
MTK0102,1,0,v,a,0.0,
MTK0102,1,0,a,v,0.0,
MTK0102,1,0,a,a,0.14285714285714285,1.0
MTK0103,1,0,v,v,0.5714285714285714,0.0
MTK0103,1,0,v,a,0.0,
MTK0103,1,0,a,v,1.0,0.0
MTK0103,1,0,a,a,0.8571428571428571,0.391304347826087
MTK0104,1,0,v,v,0.0,
MTK0104,1,0,v,a,0.0,
MTK0104,1,0,a,v,0.125,1.0
MTK0104,1,0,a,a,0.14285714285714285,0.0
MTK0106,1,0,v,v,0.0,
MTK0106,1,0,v,a,0.0,
MTK0106,1,0,a,v,0.0,
MTK0106,1,0,a,a,0.0,
MTK0107,1,0,v,v,0.0,
MTK0107,1,0,v,a,0.0,
MTK0107,1,0,a,v,0.0,
MTK0107,1,0,a,a,0.0,
MTK0108,1,0,v,v,0.2857142857142857,0.0
MTK0108,1,0,v,a,0.375,0.5
MTK0108,1,0,a,v,0.0,
MTK0108,1,0,a,a,0.0,
MTK0109,1,0,v,v,0.0,
MTK0109,1,0,v,a,0.0,
MTK0109,1,0,a,v,0.125,0.0
MTK0109,1,0,a,a,0.0,
MTK0110,1,0,v,v,0.5714285714285714,0.5
MTK0110,1,0,v,a,0.625,0.425531914893617
MTK0110,1,0,a,v,0.42857142857142855,0.6666666666666666
MTK0110,1,0,a,a,0.2857142857142857,0.0
MTK0111,1,0,v,v,0.0,
MTK0111,1,0,v,a,0.0,
MTK0111,1,0,a,v,0.125,0.0
